date,open,high,low,close,volume
2026-03-23,98.59,99.07,97.51,98.22,861483
2026-03-24,98.22,98.42,96.48,96.90,1277110
2026-03-25,96.90,97.50,95.46,96.07,1382765
2026-03-26,96.07,97.17,95.77,96.69,1028275
2026-03-27,96.69,99.04,96.18,98.50,1128838
2026-03-30,98.50,99.04,96.27,96.76,1356926
2026-03-31,96.76,97.51,95.19,95.43,994851
2026-04-01,95.43,95.66,93.11,93.78,1223389
2026-04-02,93.78,94.47,92.03,92.35,1423398
2026-04-03,92.35,92.58,90.11,90.65,1392683
2026-04-06,90.65,91.42,90.36,90.73,1129445
2026-04-07,90.73,91.13,89.24,89.78,1114569
2026-04-08,89.78,90.46,88.95,89.63,809767
2026-04-09,89.63,90.35,88.77,89.48,876819
2026-04-10,89.48,90.06,89.23,89.61,1165962
2026-04-13,89.61,91.64,89.23,90.98,965409
2026-04-14,90.98,91.46,90.41,90.76,1485743
2026-04-15,90.76,91.42,90.28,90.87,1495613
2026-04-16,90.87,91.53,89.11,89.43,912235
2026-04-17,89.43,90.56,89.10,90.30,1020861
2026-04-20,90.30,91.38,89.78,91.09,1076807
2026-04-21,91.09,91.43,90.41,91.11,853266
2026-04-22,91.11,91.52,89.29,89.62,803717
2026-04-23,89.62,89.87,88.32,89.02,969430
2026-04-24,89.02,90.36,88.61,89.88,810139
2026-04-27,89.88,90.57,87.94,88.48,956294
2026-04-28,88.48,89.26,87.99,88.64,955287
2026-04-29,88.64,88.84,88.02,88.39,841832
2026-04-30,88.39,90.09,88.08,89.80,907786
2026-05-01,89.80,90.28,88.62,89.27,1450810
2026-05-04,89.27,90.84,88.96,90.16,970395
2026-05-05,90.16,92.51,89.50,91.88,825990
2026-05-06,91.88,92.57,90.09,90.70,1231712
2026-05-07,90.70,92.46,90.08,91.80,1079766
2026-05-08,91.80,92.37,90.16,90.55,840605
2026-05-11,90.55,92.16,89.93,91.85,1282662
2026-05-12,91.85,92.49,90.64,91.30,1033752
2026-05-13,91.30,91.59,89.20,89.56,872792
2026-05-14,89.56,91.57,89.04,91.23,1219093
2026-05-15,91.23,92.54,90.87,91.89,828941
2026-05-18,91.89,92.61,90.20,90.48,1078361
2026-05-19,90.48,90.98,88.45,88.81,1128914
2026-05-20,88.81,89.51,88.34,88.58,1404596
2026-05-21,88.58,88.78,87.08,87.48,1345175
2026-05-22,87.48,89.44,86.93,88.97,1006606
2026-05-25,88.97,89.19,87.96,88.49,1146239
2026-05-26,88.49,89.46,88.25,88.93,1114910
2026-05-27,88.93,89.49,88.58,88.96,1110016
2026-05-28,88.96,89.43,88.43,89.15,1197562
2026-05-29,89.15,90.45,88.64,89.78,1115568
2026-06-01,89.78,90.41,89.10,89.44,1020392
2026-06-02,89.44,89.93,88.66,89.19,1287575
2026-06-03,89.19,89.73,88.53,88.98,977934
2026-06-04,88.98,89.88,88.45,89.55,1449342
2026-06-05,89.55,90.17,88.38,88.96,1125498
2026-06-08,88.96,89.24,87.79,87.98,1056736
2026-06-09,87.98,90.19,87.40,89.68,1277538
2026-06-10,89.68,90.20,89.09,89.37,1202630
2026-06-11,89.37,89.68,88.82,89.35,805814
2026-06-12,89.35,91.40,88.70,90.75,1245798
2026-06-15,90.75,91.37,89.18,89.73,1287115
2026-06-16,89.73,90.04,87.50,88.12,1278634
2026-06-17,88.12,88.54,86.38,86.83,1386075
2026-06-18,86.83,87.83,86.19,87.16,1442412
2026-06-19,87.16,88.91,86.76,88.26,1374485
2026-06-22,88.26,88.52,87.44,88.07,1271932
2026-06-23,88.07,88.38,86.71,87.22,1346622
2026-06-24,87.22,87.52,86.77,87.17,1099607
2026-06-25,87.17,87.52,85.61,86.24,884491
2026-06-26,86.24,86.53,84.47,84.99,1024345
2026-06-29,84.99,85.37,83.07,83.51,1235970
2026-06-30,83.51,84.09,81.69,82.05,1412451
2026-07-01,82.05,83.69,81.45,83.51,1403655
2026-07-02,83.51,83.68,82.77,83.11,1208930
2026-07-03,83.11,84.94,82.73,84.29,1372661
2026-07-06,84.29,85.93,83.87,85.30,1086193
2026-07-07,85.30,85.49,84.74,85.08,1223956
2026-07-08,85.08,86.44,84.44,85.84,1452483
2026-07-09,85.84,86.60,85.36,85.96,1495205
2026-07-10,85.96,86.46,84.09,84.33,1284125
2026-07-13,84.33,84.63,82.93,83.26,1276786
2026-07-14,83.26,83.81,82.33,82.68,1242042
2026-07-15,82.68,82.89,81.69,81.86,1365621
2026-07-16,81.86,82.49,80.12,80.39,871951
2026-07-17,80.39,81.77,79.87,81.29,1059295
2026-07-20,81.29,81.46,80.08,80.31,932352
2026-07-21,80.31,80.53,79.61,80.23,1287623
2026-07-22,80.23,81.40,79.99,80.87,1436745
2026-07-23,80.87,82.89,80.33,82.37,971720
2026-07-24,82.37,84.12,82.19,83.90,1127110
2026-07-27,83.90,84.78,83.54,84.15,1007963
2026-07-28,84.15,84.67,82.24,82.72,906851
2026-07-29,82.72,83.69,82.21,83.37,926935
2026-07-30,83.37,84.82,83.18,84.36,1358623
2026-07-31,84.36,84.72,83.70,84.12,1157806
2026-08-03,84.12,84.50,82.07,82.48,1254582
2026-08-04,82.48,84.49,81.90,84.00,960422
2026-08-05,84.00,84.54,83.13,83.78,1083201
2026-08-06,83.78,84.80,83.22,84.17,1287455
2026-08-07,84.17,84.71,83.65,83.95,1057420
2026-08-10,83.95,85.27,83.34,85.06,1055709
2026-08-11,85.06,86.38,84.55,85.91,1152737
2026-08-12,85.91,86.52,84.03,84.29,1022423
2026-08-13,84.29,84.59,83.49,83.80,1425113
2026-08-14,83.80,84.78,83.63,84.47,1000337
2026-08-17,84.47,85.00,82.66,83.07,1051997
2026-08-18,83.07,84.19,82.66,83.70,818080
2026-08-19,83.70,83.98,81.83,82.34,1121080
2026-08-20,82.34,83.23,81.90,82.88,1160455
2026-08-21,82.88,83.42,82.30,82.63,1275786
2026-08-24,82.63,82.92,81.65,81.87,1001939
2026-08-25,81.87,82.40,80.64,81.27,994143
2026-08-26,81.27,81.79,79.98,80.27,1418226
2026-08-27,80.27,82.22,79.97,81.80,905409
2026-08-28,81.80,83.20,81.46,82.89,1116950
2026-08-31,82.89,83.32,80.98,81.28,857174
2026-09-01,81.28,81.95,81.06,81.45,1314723
2026-09-02,81.45,81.62,79.86,80.16,1301968
2026-09-03,80.16,80.41,79.79,79.97,1300935
2026-09-04,79.97,80.16,78.35,78.74,1405050
2026-09-07,78.74,79.33,78.51,79.15,1390180
2026-09-08,79.15,80.77,78.87,80.57,1385181
2026-09-09,80.57,81.88,80.03,81.42,1036650
2026-09-10,81.42,82.67,80.81,82.32,1111797
2026-09-11,82.32,84.17,82.00,83.51,1451194
2026-09-14,83.51,84.16,81.83,82.04,1017881
2026-09-15,82.04,82.75,81.84,82.45,1051516
2026-09-16,82.45,82.65,81.21,81.37,1272387
2026-09-17,81.37,82.39,81.19,81.99,1102099
2026-09-18,81.99,83.18,81.60,82.67,1044762
2026-09-21,82.67,84.64,82.19,84.07,1493300
2026-09-22,84.07,85.36,83.84,85.09,1035729
2026-09-23,85.09,86.23,84.50,85.59,874878
2026-09-24,85.59,86.17,83.61,84.08,1396856
2026-09-25,84.08,85.90,83.68,85.50,1118862
2026-09-28,85.50,86.84,85.07,86.18,1317781
2026-09-29,86.18,86.66,85.34,85.97,1137978
2026-09-30,85.97,86.52,85.68,86.33,1403139
2026-10-01,86.33,86.81,85.76,86.63,1082602
2026-10-02,86.63,87.46,86.37,86.89,1344173
2026-10-05,86.89,88.08,86.62,87.42,1413762
2026-10-06,87.42,88.02,86.52,87.20,1292841
2026-10-07,87.20,87.55,86.15,86.67,968637
2026-10-08,86.67,87.20,85.76,86.08,1219904
2026-10-09,86.08,87.62,85.67,87.16,1129795
2026-10-12,87.16,87.39,85.73,86.30,1339593
2026-10-13,86.30,87.60,85.68,87.42,1284417
2026-10-14,87.42,87.69,86.76,87.12,1322707
2026-10-15,87.12,88.13,86.84,87.56,1375898
2026-10-16,87.56,87.89,85.64,86.27,1308257
2026-10-19,86.27,86.95,84.48,84.96,1050921
2026-10-20,84.96,86.00,84.78,85.67,1227809
2026-10-21,85.67,86.35,83.65,84.28,1283863
2026-10-22,84.28,86.29,84.03,85.79,1106039
2026-10-23,85.79,86.13,85.19,85.82,1295158
2026-10-26,85.82,86.28,84.57,84.94,1428492
2026-10-27,84.94,85.59,84.33,84.97,1089666
2026-10-28,84.97,86.51,84.63,85.90,1332401
2026-10-29,85.90,86.07,84.56,85.10,1415448
2026-10-30,85.10,85.88,84.49,85.37,1268238
2026-11-02,85.37,85.85,84.92,85.50,1369827
2026-11-03,85.50,86.15,84.47,85.08,1050405
2026-11-04,85.08,85.61,84.51,85.32,845767
2026-11-05,85.32,85.73,84.07,84.70,1199749
2026-11-06,84.70,85.21,83.73,84.31,959493
2026-11-09,84.31,84.50,83.87,84.29,1418849
2026-11-10,84.29,84.51,83.13,83.72,904555
2026-11-11,83.72,84.21,83.19,83.81,1229893
2026-11-12,83.81,85.72,83.60,85.05,1077896
2026-11-13,85.05,85.57,84.00,84.50,1144525
2026-11-16,84.50,86.30,84.14,85.69,1132043
2026-11-17,85.69,86.75,85.27,86.12,1367296
2026-11-18,86.12,86.33,84.03,84.52,1101338
2026-11-19,84.52,86.76,84.13,86.20,903225
2026-11-20,86.20,87.64,85.98,87.10,974446
2026-11-23,87.10,88.43,86.90,87.78,858845
2026-11-24,87.78,88.15,86.80,87.05,1356968
2026-11-25,87.05,87.58,86.47,86.74,983573
2026-11-26,86.74,87.37,84.79,85.28,1052528
2026-11-27,85.28,85.75,84.98,85.27,1468891
2026-11-30,85.27,85.57,84.26,84.43,1287853
2026-12-01,84.43,86.30,84.18,85.78,1263187
2026-12-02,85.78,88.00,85.45,87.31,1244920
2026-12-03,87.31,88.39,86.98,87.97,1203380
2026-12-04,87.97,89.45,87.59,89.21,1176395
2026-12-07,89.21,90.19,88.87,89.48,1490203
2026-12-08,89.48,89.66,88.47,89.11,851426
2026-12-09,89.11,91.16,88.49,90.57,1100096
2026-12-10,90.57,91.88,89.95,91.57,1029642
2026-12-11,91.57,92.60,91.01,92.07,1491201
2026-12-14,92.07,93.00,91.83,92.74,1457937
2026-12-15,92.74,93.64,92.31,93.28,1407727
2026-12-16,93.28,93.54,92.09,92.78,1142589
2026-12-17,92.78,93.99,92.52,93.70,1365610
